Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
1,1,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
2,2,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
3,3,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
4,4,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
5,5,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
6,6,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
7,7,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
8,8,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
9,9,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
10,10,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
11,11,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
12,12,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
13,13,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
14,14,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
15,15,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
16,16,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
17,17,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
18,18,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
19,19,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
20,20,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
21,21,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
22,22,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
23,23,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
24,24,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
25,25,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
26,26,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
27,27,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
28,28,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
29,29,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
30,30,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
31,31,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
32,32,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
33,33,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
34,34,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
35,35,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
36,36,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
37,37,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
38,38,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
39,39,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
40,40,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
41,41,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
42,42,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
43,43,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
44,44,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
45,45,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
46,46,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
47,47,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
48,48,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
49,49,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
50,50,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
51,51,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
52,52,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
53,53,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
54,54,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
55,55,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
56,56,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
57,57,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
58,58,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
59,59,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
60,60,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
61,61,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
62,62,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
63,63,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
64,64,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
65,65,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
66,66,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
67,67,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
68,68,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
69,69,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
70,70,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
71,71,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
72,72,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
73,73,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
74,74,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
75,75,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
76,76,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
77,77,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
78,78,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
79,79,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
80,80,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
81,81,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
82,82,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
83,83,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
84,84,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
85,85,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
86,86,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
87,87,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
88,88,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
89,89,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
90,90,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
91,91,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
92,92,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
93,93,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
94,94,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
95,95,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
96,96,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
97,97,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
98,98,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
99,99,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
100,100,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
101,101,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
102,102,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
103,103,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
104,104,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
105,105,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
106,106,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
107,107,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
108,108,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
109,109,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
110,110,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
111,111,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
112,112,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
113,113,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
114,114,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
115,115,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
116,116,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
117,117,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
118,118,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
119,119,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
120,120,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
121,121,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
122,122,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
123,123,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
124,124,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
125,125,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
126,126,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
127,127,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
128,128,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
129,129,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
130,130,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
131,131,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
132,132,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
133,133,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
134,134,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
135,135,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
136,136,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
137,137,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
138,138,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
139,139,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
140,140,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
141,141,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
142,142,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
143,143,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
144,144,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
145,145,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
146,146,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
147,147,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
148,148,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
149,149,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
150,150,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
151,151,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
152,152,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
153,153,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
154,154,0,f42e76a2f9585e3f29c0af7e625e0c40,1,00021d2a,00005f7e
